Batch,scan003_Quartz_%T_190_to_800.sre
EV300,140607
Data Mode,%T  None
Sample,Quartz_%T_190_to_800_after_ZB
Cycle,Cycle01
Date Collected,7/27/2016
Time Collected,2:32:03PM
Entries,Data Points
nm,%T
426.80,96.6033
427.00,96.5684
427.20,96.6852
427.40,96.7868
427.60,96.7817
427.80,96.2816
428.00,96.6044
428.20,96.8510
428.40,96.8402
428.60,96.8284
428.80,96.8084
429.00,96.6518
429.20,96.6361
429.40,96.7060
429.60,96.8288
429.80,96.4884
430.00,96.8428
430.20,96.8648
430.40,96.7626
430.60,96.7342
430.80,96.5275
431.00,96.5849
431.20,96.7203
431.40,96.7194
431.60,96.7781
431.80,96.7308
432.00,96.7400
432.20,96.5435
432.40,96.9480
432.60,96.7369
432.80,96.7586
433.00,96.4030
433.20,96.7434
433.40,96.4774
433.60,96.6256
433.80,96.6178
434.00,96.7488
434.20,96.5849
434.40,96.6862
434.60,96.7208
434.80,96.6144
435.00,96.7013
435.20,96.8466
435.40,96.6478
435.60,96.9049
435.80,96.8001
436.00,96.9141
436.20,96.8842
436.40,96.7914
436.60,96.8998
436.80,96.6403
437.00,96.8552
437.20,96.7691
437.40,96.7907
437.60,96.4181
437.80,96.6545
438.00,96.9212
438.20,96.6847
438.40,96.9989
438.60,96.7956
438.80,96.6000
439.00,96.7708
439.20,96.6852
439.40,96.7618
439.60,96.7788
439.80,96.7442
440.00,96.6662
440.20,96.8052
440.40,96.6591
440.60,96.7290
440.80,96.5827
441.00,96.8382
441.20,96.7254
441.40,96.7777
441.60,96.6600
441.80,96.9887
442.00,97.0431
442.20,96.7940
442.40,96.9794
442.60,96.8269
442.80,97.0162
443.00,96.9064
443.20,96.8646
443.40,96.9110
443.60,96.8717
443.80,96.8456
444.00,96.7977
444.20,96.8163
444.40,96.8962
444.60,96.8967
444.80,96.8648
445.00,96.8828
445.20,96.7776
445.40,96.7858
445.60,96.7381
445.80,96.8233
446.00,96.7192
446.20,96.7497
446.40,96.8961
446.60,96.7152
446.80,96.9628
447.00,96.7996
447.20,96.7568
447.40,96.8820
447.60,96.8259
447.80,96.7454
448.00,96.7757
448.20,96.9865
448.40,96.9572
448.60,96.9175
448.80,97.0526
449.00,96.9663
449.20,96.8421
449.40,96.9894
449.60,96.9241
449.80,96.7333
450.00,96.5951
450.20,96.7402
450.40,96.7404
450.60,97.1080
450.80,96.9882
451.00,96.8220
451.20,96.9575
451.40,97.0543
451.60,97.2053
451.80,96.8286
452.00,97.0052
452.20,96.8171
452.40,96.8741
452.60,96.7322
452.80,96.9457
453.00,96.8765
453.20,96.7331
453.40,96.9128
453.60,96.8381
453.80,97.0029
454.00,96.8924
454.20,96.7965
454.40,96.9406
454.60,96.8115
454.80,96.7534
455.00,96.7172
455.20,96.6104
455.40,96.6925
455.60,96.8653
455.80,96.7971
456.00,96.7712
456.20,96.7886
456.40,96.7427
456.60,96.7661
456.80,96.8080
457.00,96.9276
457.20,96.9072
457.40,96.7782
457.60,96.7277
457.80,96.7971
458.00,96.9141
458.20,96.7065
458.40,96.8735
458.60,96.6745
458.80,96.8693
459.00,96.7450
459.20,96.9088
459.40,96.7687
459.60,96.7259
459.80,96.8171
460.00,96.8391
460.20,96.7894
460.40,96.5584
460.60,96.9406
460.80,96.6850
461.00,97.0551
461.20,96.9201
461.40,97.0275
461.60,97.0279
461.80,96.8978
462.00,96.7423
462.20,96.8078
462.40,96.9614
462.60,97.1014
462.80,96.8194
463.00,97.0779
463.20,96.9272
463.40,96.8828
463.60,97.0651
463.80,97.0646
464.00,97.0869
464.20,96.8886
464.40,97.0344
464.60,97.0146
464.80,97.0782
465.00,96.9475
465.20,97.1217
465.40,97.1557
465.60,96.8158
465.80,97.1937
466.00,96.7892
466.20,96.9164
466.40,96.8839
466.60,97.0524
466.80,96.9303
467.00,96.9905
467.20,97.1356
467.40,97.0202
467.60,97.0534
467.80,97.1113
468.00,96.9449
468.20,97.0153
468.40,96.8780
468.60,97.1600
468.80,97.0283
469.00,97.0464
469.20,96.8923
469.40,96.9364
469.60,97.0312
469.80,97.1763
470.00,96.9708
470.20,96.7937
470.40,97.0927
470.60,97.1436
470.80,97.0098
471.00,97.0965
471.20,96.9390
471.40,97.0835
471.60,96.9570
471.80,97.0248
472.00,96.9405
472.20,97.2508
472.40,97.1981
472.60,96.9541
472.80,97.0720
473.00,97.0789
473.20,97.2381
473.40,97.0462
473.60,97.1407
473.80,97.2022
474.00,97.1901
474.20,97.0830
474.40,97.0639
474.60,97.1329
474.80,97.1167
475.00,97.1349
475.20,97.3076
475.40,97.2247
475.60,97.2340
475.80,97.1642
476.00,97.1559
476.20,97.1683
476.40,97.1922
476.60,97.1538
476.80,97.1466
477.00,97.3040
477.20,97.2090
477.40,97.2908
477.60,97.2932
477.80,97.2392
478.00,97.1537
478.20,97.1218
478.40,97.0974
478.60,97.1821
478.80,97.2357
479.00,97.2332
479.20,97.2362
479.40,97.2348
479.60,97.3062
479.80,97.0765
480.00,97.3806
480.20,97.1436
480.40,97.1277
480.60,97.3522
480.80,97.0922
481.00,97.2324
481.20,97.1639
481.40,97.1778
481.60,97.3349
481.80,97.2062
482.00,97.3059
482.20,97.2253
482.40,96.8171
482.60,97.1287
482.80,97.2835
483.00,97.1852
483.20,97.2093
483.40,97.2087
483.60,97.0061
483.80,96.8045
484.00,96.8756
484.20,96.8137
484.40,96.8938
484.60,96.9898
484.80,97.1083
485.00,97.1426
485.20,97.2841
485.40,97.3019
485.60,97.2537
485.80,97.3944
486.00,97.3626
486.20,97.2571
486.40,97.2607
486.60,97.1579
486.80,97.0140
487.00,96.5790
487.20,97.1625
487.40,97.1085
