Batch,scan004_Borosilicate_EPA_vial_%T_190_to_800.sre
EV300,140607
Data Mode,%T  None
Sample,Borosil_%T_190-800_after_ZB
Cycle,Cycle01
Date Collected,7/27/2016
Time Collected,2:49:00PM
Entries,Data Points
nm,%T
351.40,96.4504
351.60,96.0996
351.80,96.2507
352.00,96.3076
352.20,96.0873
352.40,96.1870
352.60,96.2876
352.80,96.4610
353.00,96.3453
353.20,96.3162
353.40,96.2154
353.60,96.3479
353.80,96.4781
354.00,96.3852
354.20,96.5794
354.40,96.6121
354.60,96.5780
354.80,96.6319
355.00,96.5900
355.20,96.5031
355.40,96.5683
355.60,96.5680
355.80,96.6520
356.00,96.8679
356.20,96.6333
356.40,96.5899
356.60,96.6244
356.80,96.5994
357.00,96.7180
357.20,96.5227
357.40,96.6788
357.60,96.6423
357.80,96.8217
358.00,96.9912
358.20,96.8987
358.40,96.8926
358.60,96.9345
358.80,97.0438
359.00,97.0285
359.20,96.8610
359.40,96.6915
359.60,96.1679
359.80,96.6876
360.00,96.9152
360.20,96.8381
360.40,96.7262
360.60,96.7248
360.80,96.8923
361.00,96.9688
361.20,96.7322
361.40,97.0605
361.60,96.9950
361.80,96.9709
362.00,96.8030
362.20,97.1200
362.40,96.8791
362.60,97.0544
362.80,96.9862
363.00,96.9463
363.20,97.2636
363.40,96.7864
363.60,96.8141
363.80,97.1181
364.00,96.7530
364.20,96.8684
364.40,96.8807
364.60,96.8274
364.80,96.9319
365.00,96.7629
365.20,96.9215
365.40,96.6964
365.60,96.8460
365.80,96.7979
366.00,96.8835
366.20,96.9967
366.40,96.8574
366.60,96.9395
366.80,96.7834
367.00,96.9155
367.20,96.7370
367.40,96.7396
367.60,96.4001
367.80,96.7413
368.00,97.1026
368.20,97.0072
368.40,96.9359
368.60,96.8446
368.80,96.7500
369.00,96.9011
369.20,96.8249
369.40,96.7639
369.60,96.8125
369.80,96.7473
370.00,96.9625
370.20,96.7243
370.40,96.8950
370.60,96.8549
370.80,97.0699
371.00,97.1769
371.20,96.8488
371.40,96.8379
371.60,96.9373
371.80,96.8099
372.00,96.7605
372.20,96.8865
372.40,97.0430
372.60,97.0491
372.80,97.0015
373.00,97.0061
373.20,96.9298
373.40,96.9324
373.60,96.7957
373.80,96.9804
374.00,96.8841
374.20,96.8607
374.40,97.1129
374.60,96.9762
374.80,96.8080
375.00,96.6912
375.20,97.1436
375.40,96.8634
375.60,97.1027
375.80,97.0297
376.00,96.8992
376.20,97.0876
376.40,96.9677
376.60,97.0342
376.80,97.1616
377.00,97.0693
377.20,97.1143
377.40,97.1786
377.60,97.2402
377.80,97.2126
378.00,97.2929
378.20,96.9664
378.40,97.1797
378.60,97.0307
378.80,96.9578
379.00,97.1311
379.20,96.7458
379.40,97.1542
379.60,96.5244
379.80,96.9034
380.00,96.9115
380.20,96.9736
380.40,97.1619
380.60,97.0978
380.80,97.0981
381.00,97.1038
381.20,96.9460
381.40,97.0016
381.60,97.1080
381.80,97.0903
382.00,97.0047
382.20,97.1050
382.40,96.9722
382.60,97.1186
382.80,97.1829
383.00,96.9203
383.20,97.1779
383.40,97.1470
383.60,97.1860
383.80,97.1517
384.00,97.3771
384.20,97.0726
384.40,97.3775
384.60,96.9957
384.80,97.3475
385.00,97.3226
385.20,97.2156
385.40,97.1889
385.60,96.7801
385.80,96.9585
386.00,97.3377
386.20,97.3162
386.40,97.4519
386.60,97.1587
386.80,97.3082
387.00,97.2536
387.20,97.5387
387.40,97.2227
387.60,97.3716
387.80,97.2558
388.00,97.6478
388.20,97.6057
388.40,97.5376
388.60,97.3719
388.80,97.4091
389.00,97.5038
389.20,97.4585
389.40,97.5612
389.60,97.3539
389.80,97.2719
390.00,97.5320
390.20,97.3921
390.40,97.4625
390.60,97.4925
390.80,97.4256
391.00,97.5659
391.20,97.6479
391.40,97.2274
391.60,97.6509
391.80,97.4797
392.00,97.4773
392.20,97.6451
392.40,97.2509
392.60,97.7485
392.80,97.4957
393.00,97.6326
393.20,97.7422
393.40,97.5523
393.60,97.4819
393.80,97.6418
394.00,97.6404
394.20,97.5455
394.40,97.7114
394.60,97.4820
394.80,97.4091
395.00,97.4807
395.20,96.9061
395.40,97.5573
395.60,97.5746
395.80,97.5361
396.00,97.4914
396.20,97.6585
396.40,97.7619
396.60,97.4239
396.80,97.4467
397.00,97.4802
397.20,97.4938
397.40,97.4511
397.60,97.7045
397.80,97.5494
398.00,97.6122
398.20,97.5318
398.40,97.7519
398.60,97.7131
398.80,97.6429
399.00,97.4272
399.20,97.6378
399.40,97.5262
399.60,97.4181
399.80,97.6110
400.00,97.6722
400.20,97.5812
400.40,97.6000
400.60,97.5296
400.80,97.8495
401.00,97.5462
401.20,97.6909
401.40,97.8618
401.60,97.4545
401.80,97.5009
402.00,97.5634
402.20,97.7216
402.40,97.6161
402.60,97.7173
402.80,97.8025
403.00,97.5333
403.20,97.6758
403.40,97.5611
403.60,97.6481
403.80,97.4979
404.00,97.5524
404.20,97.7195
404.40,97.6015
404.60,97.3771
404.80,97.7385
405.00,97.7992
405.20,97.6197
405.40,97.6196
405.60,97.7490
405.80,97.8817
406.00,97.6761
406.20,97.5803
406.40,97.7370
406.60,97.5890
406.80,97.6321
407.00,97.6688
407.20,97.7089
407.40,97.7099
407.60,97.8292
407.80,97.8511
408.00,97.0919
408.20,97.8521
408.40,97.6370
408.60,97.7461
408.80,97.6897
409.00,97.6161
409.20,97.6310
409.40,97.6838
409.60,97.6578
409.80,97.5935
410.00,97.7766
410.20,97.6499
410.40,97.7947
410.60,97.7705
410.80,97.7663
411.00,97.6763
411.20,97.8187
411.40,97.5258
411.60,97.8187
411.80,97.7422
412.00,97.6664
412.20,97.5286
412.40,97.1108
412.60,97.8077
412.80,97.7170
413.00,97.7030
413.20,97.5806
413.40,97.5582
413.60,97.6480
413.80,97.7545
414.00,97.5396
414.20,97.9127
414.40,97.7569
414.60,97.7430
414.80,97.6779
415.00,97.8147
415.20,97.7408
415.40,97.8107
415.60,97.5796
415.80,98.0249
416.00,97.6270
416.20,97.8279
416.40,97.6745
416.60,97.7384
416.80,97.5796
417.00,97.5956
417.20,97.8491
417.40,97.6617
417.60,97.6066
417.80,97.5631
418.00,97.5601
418.20,97.4188
418.40,97.5759
418.60,97.7540
418.80,97.6934
419.00,97.6858
419.20,97.6147
419.40,97.4165
419.60,97.5733
419.80,97.6421
420.00,97.6120
420.20,97.6985
420.40,97.5914
420.60,97.6546
420.80,97.4414
421.00,97.1484
421.20,97.4084
421.40,97.5351
421.60,97.6045
421.80,97.6673
422.00,97.7874
422.20,97.7956
422.40,97.6992
422.60,97.6650
422.80,97.7159
423.00,97.3458
423.20,97.6181
423.40,97.6862
423.60,97.7446
423.80,97.7158
424.00,97.5613
424.20,97.5867
424.40,97.6799
424.60,97.7363
424.80,97.6405
425.00,97.5951
425.20,97.6298
425.40,97.6069
425.60,97.7132
425.80,97.6464
426.00,97.7170
426.20,97.7799
426.40,97.7916
426.60,97.6964
426.80,97.7451
427.00,97.8465
427.20,97.8558
427.40,97.7996
427.60,97.8751
427.80,97.3292
428.00,97.6313
428.20,97.8875
428.40,97.9101
428.60,97.8632
428.80,97.8588
429.00,97.7714
429.20,97.6958
429.40,97.8754
429.60,97.8846
429.80,97.5593
430.00,97.9179
430.20,97.9789
430.40,97.7949
430.60,97.6953
430.80,97.6319
431.00,97.7040
431.20,97.8108
431.40,97.8038
431.60,97.8512
431.80,97.7638
432.00,97.8265
432.20,97.6442
432.40,97.9018
432.60,97.8056
432.80,97.9335
433.00,97.5221
433.20,97.8942
433.40,97.5941
433.60,97.7807
433.80,97.6589
434.00,97.7605
434.20,97.6608
434.40,97.7596
434.60,97.7943
434.80,97.6235
435.00,97.8238
435.20,97.9576
435.40,97.6652
435.60,97.8514
435.80,97.7807
436.00,98.0437
436.20,97.8909
436.40,97.7276
436.60,97.9178
436.80,97.6870
437.00,97.8492
437.20,97.7425
437.40,97.7726
437.60,97.3845
437.80,97.7215
438.00,98.0337
438.20,97.7379
438.40,97.9982
438.60,97.8521
438.80,97.6144
439.00,97.7436
439.20,97.7640
439.40,97.8208
439.60,97.8134
439.80,97.7881
440.00,97.7355
440.20,97.8169
440.40,97.7663
440.60,97.6708
440.80,97.5943
441.00,97.8217
441.20,97.7838
441.40,97.7735
441.60,97.7473
441.80,97.9821
442.00,97.9528
442.20,97.8153
442.40,97.9632
442.60,97.7738
442.80,97.9938
443.00,98.0380
443.20,97.7547
443.40,97.9737
443.60,97.8857
443.80,97.9222
444.00,97.9303
444.20,97.8799
444.40,98.0149
444.60,97.8045
444.80,97.8957
445.00,97.9063
445.20,97.8371
445.40,97.9072
445.60,97.8695
445.80,97.9887
446.00,97.7450
446.20,97.7636
446.40,97.8480
446.60,97.8531
446.80,97.8918
447.00,97.8894
447.20,97.8037
447.40,97.9074
447.60,97.7894
447.80,97.8413
448.00,97.8155
448.20,98.0062
448.40,98.0474
448.60,97.9163
448.80,98.0388
449.00,98.0238
449.20,97.8373
449.40,98.0026
449.60,97.9768
449.80,97.7835
450.00,97.5191
450.20,97.9137
450.40,97.9708
450.60,98.0745
450.80,98.0429
451.00,97.9796
451.20,97.9775
451.40,98.0969
451.60,98.0865
451.80,97.9001
452.00,98.1549
452.20,97.9624
452.40,97.7680
452.60,97.7992
452.80,97.9847
453.00,97.7813
453.20,97.8103
453.40,97.9541
453.60,97.8367
453.80,97.9968
454.00,97.9822
454.20,97.8889
454.40,97.9653
454.60,97.8201
454.80,97.8966
455.00,97.7073
455.20,97.6408
455.40,97.7025
455.60,97.8347
455.80,97.8586
456.00,97.7970
456.20,97.8683
456.40,97.6415
456.60,97.8633
456.80,97.8671
457.00,97.8897
457.20,97.9285
457.40,97.8161
457.60,97.8785
457.80,97.7984
458.00,97.9805
458.20,97.7144
458.40,97.9424
458.60,97.7869
458.80,97.9273
459.00,97.7626
459.20,97.9330
459.40,97.7074
459.60,97.7259
459.80,97.8630
460.00,97.8859
460.20,97.7674
460.40,97.6478
460.60,97.9883
460.80,97.6902
461.00,97.9038
461.20,97.9719
461.40,98.0323
461.60,98.1103
461.80,97.9797
462.00,97.7991
462.20,97.8502
462.40,97.9533
462.60,98.1043
462.80,97.7465
463.00,98.1012
463.20,98.0783
463.40,97.9480
463.60,98.1712
463.80,98.1322
464.00,98.0430
464.20,97.9943
464.40,98.1364
464.60,98.1065
464.80,97.9644
465.00,98.0325
465.20,98.0146
465.40,98.0745
465.60,97.9834
465.80,98.1506
466.00,97.7923
466.20,97.9158
466.40,97.9428
466.60,98.0341
466.80,97.9995
467.00,98.0814
467.20,98.1241
467.40,98.0049
467.60,98.1051
467.80,98.0886
468.00,98.0028
468.20,98.0872
468.40,97.8092
468.60,98.1429
468.80,97.9251
469.00,98.1570
469.20,97.9229
469.40,97.9768
469.60,98.0379
469.80,98.2246
470.00,97.9454
470.20,97.8524
470.40,98.0297
470.60,98.1006
470.80,98.0233
471.00,98.0878
471.20,97.9999
471.40,98.1756
471.60,98.0530
471.80,98.1079
472.00,97.9982
472.20,98.2924
472.40,98.1899
472.60,98.1613
472.80,98.0135
473.00,98.2282
473.20,98.2113
473.40,98.1748
473.60,98.1042
473.80,98.1429
474.00,98.2505
474.20,98.1101
474.40,97.9924
474.60,98.1408
474.80,98.1567
475.00,98.1350
475.20,98.2827
475.40,98.2017
