Wavelength [nm]	DAC down [1/m] (Ocean Optics Jaz spectrophotometer)	Uncertainty in DAC down [1/m] (Ocean Optics Jaz spectrophotometer)	DAC down [1/m] (fitted)
544.4	0.10	0.00	
544.8	0.10	0.00	
545.1	0.10	0.00	
545.5	0.10	0.00	
545.8	0.10	0.00	
546.1	0.10	0.00	
546.5	0.10	0.00	
546.8	0.10	0.00	
547.2	0.10	0.00	
547.5	0.10	0.00	
547.9	0.10	0.00	
548.2	0.10	0.00	
548.6	0.10	0.00	
548.9	0.10	0.00	
549.3	0.10	0.00	
549.6	0.10	0.00	
549.9	0.10	0.00	
550.3	0.10	0.00	
550.6	0.10	0.00	
551.0	0.10	0.00	
551.3	0.10	0.00	
551.7	0.10	0.00	
552.0	0.10	0.00	
552.4	0.10	0.00	
552.7	0.10	0.00	
553.0	0.10	0.00	
553.4	0.10	0.00	
553.7	0.10	0.00	
554.1	0.10	0.00	
554.4	0.10	0.00	
554.8	0.10	0.00	
555.1	0.10	0.00	
555.5	0.10	0.00	
555.8	0.10	0.00	
556.1	0.10	0.00	
556.5	0.10	0.00	
556.8	0.10	0.00	
557.2	0.10	0.00	
557.5	0.10	0.00	
557.9	0.10	0.00	
558.2	0.10	0.00	
558.6	0.10	0.00	
558.9	0.10	0.00	
559.2	0.10	0.00	
559.6	0.10	0.00	
559.9	0.10	0.00	
560.3	0.10	0.00	
560.6	0.10	0.00	
561.0	0.10	0.00	
561.3	0.10	0.00	
561.6	0.10	0.00	
562.0	0.10	0.00	
562.3	0.10	0.00	
562.7	0.10	0.00	
563.0	0.10	0.00	
563.4	0.10	0.00	
563.7	0.10	0.00	
564.0	0.10	0.00	
564.4	0.10	0.00	
564.7	0.10	0.00	
565.1	0.10	0.00	
565.4	0.10	0.00	
565.8	0.10	0.00	
566.1	0.10	0.00	
566.4	0.10	0.00	
566.8	0.10	0.00	
567.1	0.10	0.00	
567.5	0.10	0.00	
567.8	0.10	0.00	
568.2	0.10	0.00	
568.5	0.10	0.00	
568.8	0.10	0.00	
569.2	0.10	0.00	
569.5	0.10	0.00	
569.9	0.10	0.00	
570.2	0.10	0.00	
570.6	0.10	0.00	
570.9	0.10	0.00	
571.2	0.10	0.00	
571.6	0.10	0.00	
571.9	0.10	0.00	
572.3	0.10	0.00	
572.6	0.10	0.00	
573.0	0.10	0.00	
573.3	0.10	0.00	
573.6	0.10	0.00	
574.0	0.10	0.00	
574.3	0.10	0.00	
574.7	0.10	0.00	
575.0	0.11	0.00	
575.3	0.11	0.00	
575.7	0.11	0.00	
576.0	0.11	0.00	
576.4	0.11	0.00	
576.7	0.11	0.01	
577.1	0.11	0.01	
577.4	0.11	0.01	
577.7	0.11	0.01	
578.1	0.11	0.01	
578.4	0.11	0.01	
578.8	0.11	0.01	
579.1	0.11	0.01	
579.4	0.11	0.01	
579.8	0.12	0.01	
580.1	0.12	0.01	
580.5	0.12	0.01	
580.8	0.12	0.01	
581.2	0.12	0.01	
581.5	0.12	0.01	
581.8	0.12	0.01	
582.2	0.12	0.01	
582.5	0.12	0.01	
582.9	0.13	0.01	
583.2	0.13	0.01	
583.5	0.13	0.01	
583.9	0.13	0.01	
584.2	0.13	0.01	
584.6	0.13	0.01	
584.9	0.13	0.01	
585.2	0.13	0.01	
585.6	0.14	0.01	
585.9	0.14	0.01	
586.3	0.14	0.01	
586.6	0.14	0.01	
586.9	0.14	0.01	
587.3	0.14	0.01	
587.6	0.14	0.01	
588.0	0.15	0.01	
588.3	0.15	0.01	
588.6	0.15	0.01	
589.0	0.15	0.01	
589.3	0.15	0.01	
589.7	0.15	0.01	
590.0	0.15	0.01	
590.3	0.16	0.01	
590.7	0.16	0.01	
591.0	0.16	0.01	
591.4	0.16	0.01	
591.7	0.16	0.01	
592.0	0.16	0.01	
592.4	0.16	0.01	
592.7	0.17	0.01	
593.1	0.17	0.01	
593.4	0.17	0.02	
593.7	0.17	0.02	
594.1	0.17	0.02	
594.4	0.18	0.02	
594.8	0.18	0.02	
595.1	0.18	0.02	
595.4	0.18	0.02	
595.8	0.19	0.02	
596.1	0.19	0.02	
596.5	0.19	0.02	
596.8	0.19	0.02	
597.1	0.20	0.02	
597.5	0.20	0.02	
597.8	0.20	0.02	
598.1	0.20	0.02	
598.5	0.21	0.02	
598.8	0.21	0.02	
599.2	0.21	0.02	
599.5	0.22	0.02	
599.8	0.22	0.02	
600.2	0.22	0.02	
600.5	0.23	0.02	
600.9	0.23	0.03	
601.2	0.23	0.03	
601.5	0.23	0.03	
601.9	0.24	0.03	
602.2	0.24	0.03	
602.5	0.24	0.03	
602.9	0.24	0.03	
603.2	0.25	0.03	
603.6	0.25	0.03	
603.9	0.25	0.03	
604.2	0.25	0.03	
604.6	0.25	0.03	
604.9	0.25	0.03	
605.2	0.26	0.03	
605.6	0.26	0.03	
605.9	0.26	0.03	
606.3	0.26	0.03	
606.6	0.26	0.03	
606.9	0.26	0.03	
607.3	0.26	0.03	
607.6	0.26	0.03	
608.0	0.26	0.03	
608.3	0.27	0.03	
608.6	0.27	0.03	
609.0	0.27	0.03	
609.3	0.27	0.03	
609.6	0.27	0.03	
610.0	0.27	0.03	
610.3	0.27	0.03	
610.6	0.27	0.03	
611.0	0.27	0.03	
611.3	0.27	0.03	
611.7	0.27	0.03	
612.0	0.27	0.03	
612.3	0.28	0.03	
612.7	0.28	0.04	
613.0	0.28	0.03	
613.3	0.28	0.04	
613.7	0.28	0.04	
614.0	0.28	0.04	
614.4	0.28	0.04	
614.7	0.28	0.04	
615.0	0.28	0.04	
615.4	0.28	0.04	
615.7	0.29	0.04	
616.0	0.29	0.04	
616.4	0.29	0.04	
616.7	0.29	0.04	
617.0	0.29	0.04	
617.4	0.29	0.04	
617.7	0.29	0.04	
618.1	0.29	0.04	
618.4	0.29	0.04	
618.7	0.29	0.04	
619.1	0.29	0.04	
619.4	0.29	0.04	
619.7	0.30	0.04	
620.1	0.30	0.04	
620.4	0.30	0.04	
620.7	0.30	0.04	
621.1	0.30	0.04	
621.4	0.30	0.04	
621.7	0.30	0.04	
622.1	0.30	0.04	
622.4	0.30	0.04	
622.8	0.30	0.04	
623.1	0.30	0.04	
623.4	0.30	0.04	
623.8	0.30	0.04	
624.1	0.31	0.04	
624.4	0.31	0.04	
624.8	0.31	0.04	
625.1	0.31	0.04	
625.4	0.31	0.04	
625.8	0.31	0.04	
626.1	0.31	0.04	
626.4	0.31	0.04	
626.8	0.31	0.04	
627.1	0.31	0.04	
627.4	0.31	0.04	
627.8	0.32	0.04	
628.1	0.32	0.04	
628.4	0.32	0.04	
628.8	0.32	0.04	
629.1	0.32	0.04	
629.5	0.32	0.04	
629.8	0.32	0.04	
630.1	0.32	0.04	
630.5	0.32	0.04	
630.8	0.32	0.04	
631.1	0.32	0.04	
631.5	0.32	0.04	
631.8	0.33	0.04	
632.1	0.33	0.04	
632.5	0.33	0.05	
632.8	0.33	0.05	
633.1	0.33	0.05	
633.5	0.33	0.05	
633.8	0.33	0.05	
634.1	0.33	0.05	
634.5	0.33	0.05	
634.8	0.33	0.05	
635.1	0.33	0.05	
635.5	0.33	0.05	
635.8	0.33	0.05	
636.1	0.34	0.05	
636.5	0.34	0.05	
636.8	0.34	0.05	
637.1	0.34	0.05	
637.5	0.34	0.05	
637.8	0.34	0.05	
638.1	0.34	0.05	
638.5	0.34	0.05	
638.8	0.34	0.05	
639.1	0.34	0.05	
639.5	0.34	0.05	
639.8	0.34	0.05	
640.1	0.34	0.05	
640.5	0.34	0.05	
640.8	0.34	0.05	
641.1	0.34	0.05	
641.5	0.34	0.05	
641.8	0.34	0.05	
642.1	0.35	0.05	
642.5	0.35	0.05	
642.8	0.35	0.05	
643.1	0.35	0.05	
643.5	0.35	0.05	
643.8	0.35	0.05	
644.1	0.35	0.05	
644.5	0.35	0.05	
644.8	0.35	0.05	
645.1	0.35	0.05	
645.5	0.35	0.05	
645.8	0.35	0.05	
646.1	0.35	0.05	
646.5	0.35	0.05	
646.8	0.35	0.05	
647.1	0.35	0.05	
647.4	0.36	0.05	
647.8	0.36	0.05	
648.1	0.36	0.05	
648.4	0.36	0.05	
648.8	0.36	0.05	
649.1	0.36	0.05	
649.4	0.36	0.05	
649.8	0.36	0.05	
650.1	0.36	0.05	
650.4	0.36	0.05	
650.8	0.37	0.05	
651.1	0.37	0.05	
651.4	0.37	0.05	
651.8	0.37	0.05	
652.1	0.37	0.06	
652.4	0.37	0.06	
652.8	0.38	0.06	
653.1	0.38	0.06	
653.4	0.38	0.06	
653.7	0.38	0.06	
654.1	0.38	0.06	
654.4	0.38	0.06	
654.7	0.38	0.06	
655.1	0.39	0.06	
655.4	0.39	0.06	
655.7	0.39	0.06	
656.1	0.39	0.06	
656.4	0.39	0.06	
